"basin","region","subRegion","siteName","latitude","longitude","depth","intrumentType","projectCode","tagNum","fate","dateDeployment","dateRecovery","duration","species","massBlockPre","massEpoxiedPre","volumeBlockPre","densityRWPre","densityHUPre","densityCTPre","massDirtyPost","massCleanPost","volumeBlockPost","densityHUPost","densityCTPost","macroboring","grazing","accretion","machinePre","machinePost","carbEQPost","sa","notes","instrument","daysDeployed","yearsDeployed","loc1","loc2","loc3","loc1.2","deltaMass_mgcm2y","deltaMass_kgm2y","deltaVolume_mm3cm2y","deltaDensity_mgcm3cm2y","macroboring_mm3cm2y","accretion_mm3cm2y","grazing_mm3cm2y"
"atlantic","FLK","middle","MKO1",24.63127,-81.09255,6,"BMU","BMUQuest",3730,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",13.1834,30.4077,10.72630405,1.229072003,NA,1.244761539,35.1368,33.2902,8.907594681,NA,1.370768,-0.188415527,-1.630293842,2.612042427,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",31.882196969697,0.31882196969697,8.77474442939396,1.39370782621212,-2.08398991984848,28.8907722986364,-18.0320379493939
"atlantic","FLK","middle","MKI1",24.68554,-81.04336,3.5,"BMU","BMUQuest",3733,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",14.9015,31.5182,11.69008827,1.274712359,NA,1.262092398,30.5847,29.6474,8.098992348,NA,1.39195343,-0.929177284,-2.661918638,0.754177094,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",-20.6921818181818,-0.206921818181818,-31.3780415824243,1.43634171757576,-10.2772638987879,8.34165573666667,-29.442433420303
"atlantic","FLK","middle","MKI1",24.68554,-81.04336,3.5,"BMU","BMUQuest",3734,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",11.5931,29.0197,11.53030586,1.005446008,NA,1.010271283,28.8861,27.8287,8.165742874,NA,1.13429057,-0.208637238,-3.155925748,0.852959633,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",-13.1731818181818,-0.131731818181818,-27.7798552680303,1.37172847742424,-2.30765429909091,9.43425048621212,-34.9064514551515
"atlantic","FLK","middle","MKO2",24.63388,-81.08344,5,"BMU","BMUQuest",3738,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",11.7755,29.0695,11.37902069,1.034843008,NA,1.042587154,30.2334,28.8816,7.534080505,NA,1.196149819,-0.074767113,-3.770173072,1.686641693,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",-2.07828787878791,-0.0207828787878791,-23.8720893812121,1.69849614318182,-0.826969583181818,18.6552793316667,-41.700399129697
"atlantic","FLK","middle","MKI1",24.68554,-81.04336,3.5,"BMU","BMUQuest",3745,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",15.2682,32.2595,10.9049263,1.400119504,NA,1.40388304,36.7557,35.1201,8.824004173,NA,1.5275575,-0.161112785,-1.919809342,2.866744995,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",31.6399696969697,0.316399696969697,8.69167717636364,1.36791448181818,-1.78200504621212,31.7079370659091,-21.2342548433333
"atlantic","FLK","middle","MKO2",24.63388,-81.08344,5,"BMU","BMUQuest",3749,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",15.3278,31.6561,11.76957607,1.302323882,NA,1.293250644,32.8211,31.7758,9.026392937,NA,1.44718042,-0.320654869,-2.422528264,1.500234604,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",1.32395454545456,0.0132395454545456,-13.7477640328788,1.70255661333333,-3.54663718742424,16.5935039533333,-26.7946307987879
"atlantic","FLK","middle","MKO1",24.63127,-81.09255,6,"BMU","BMUQuest",3750,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",16.3,32.706,10.6268692,1.533847805,NA,1.5221066,37.5126,36.1911,9.943957329,NA,1.61577646,-0.277387619,-0.405524251999999,2.487587929,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",38.5473181818181,0.385473181818181,19.9608109445455,1.03604542121212,-3.06807517984848,27.5142301237879,-4.48534399939393
"atlantic","FLK","middle","MKI2",24.68988,-81.0294,5,"BMU","BMUQuest",3752,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",14.8165,32.178,11.68692112,1.267784718,NA,1.260952714,36.1208,34.734,10.10435772,NA,1.35564835,-0.751490593,-0.831072807,2.362627029,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",28.2709090909091,0.282709090909091,8.62797650257576,1.04739112545455,-8.31194140742424,26.1320868359091,-9.19216892590909
"atlantic","FLK","middle","MKI2",24.68988,-81.0294,5,"BMU","BMUQuest",3753,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",16.912,33.1641,11.23418999,1.505404485,NA,1.50179694,32.551,31.5047,9.168477058,NA,1.56574739,-0.138496399,-1.927216533,0.23182869,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",-18.3539696969697,-0.183539696969697,-20.2838711615151,0.707330734848486,-1.53185411015152,2.56416581363636,-21.316182865
"atlantic","FLK","middle","MKI2",24.68988,-81.0294,5,"BMU","BMUQuest",3754,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",13.8488,31.1142,11.24828339,1.231192309,NA,1.24589178,34.2569,33.2111,9.090259552,NA,1.37722647,-0.484162331,-1.673861507,2.265749931,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",23.1929848484849,0.231929848484849,1.19151587712121,1.45264126818182,-5.35512881257576,25.0605674186364,-18.5139227289394
"atlantic","FLK","middle","MKO2",24.63388,-81.08344,5,"BMU","BMUQuest",3757,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",15.9612,31.9,11.2980566,1.412738541,NA,1.3741686,36.2123,35.0468,10.11883736,NA,1.45786739,-0.079668045,-1.099551195,2.168915749,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mko","florida.keys",34.8055151515151,0.348055151515151,10.9466432056061,0.925759343939395,-0.881176861363636,23.9895226783333,-12.1617026113636
"atlantic","FLK","middle","MKI1",24.68554,-81.04336,3.5,"BMU","BMUQuest",3763,"SUCCESSFULLY RECOVERED",2016-04-20,2020-01-25,3.767123288,"O. faveolata",18.3305,35.4752,12.10146618,1.514733812,NA,1.50631474,36.2223,35.3123,10.71927452,NA,1.60275226,-0.165610313,-1.216581347,0.66276741,"macro","macro",NA,NA,NA,NA,1375,3.76712328767123,"florida","keys","keys-mki","florida.keys",-1.80177272727273,-0.0180177272727273,-7.95726821969694,1.06665741818182,-1.83175043166667,7.33060923181818,-13.4561270198485
