basin,ncrmpRegion,region,subRegion,siteName,PRIMARY_SAMPLE_UNIT,YEAR,LAT_DEGREES,LON_DEGREES,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,perryDensity,density_ind_ha,deltaDensity,perryBiomass,biomass_kg_ha,deltaBiomass,bioerosion_kg_m2_yr1
atlantic,FLK,FLK,upper,inshore,9119,2022,24.90403,-80.61852,24.90403,-80.61852,24.90403,-80.61852,909.0909091,5593.220339,-4684.12943,189.8450151,422.599101,-232.7540859,0.287877934
atlantic,FLK,FLK,upper,inshore,9122,2022,24.90358,-80.61902,24.90358,-80.61902,24.90358,-80.61902,56.81818182,903.9548023,-847.1366205,73.01585107,127.479166,-54.46331493,0.200180363
atlantic,FLK,FLK,upper,inshore,9210,2022,24.90355,-80.60961,24.90355,-80.60961,24.90355,-80.60961,340.9090909,2937.853107,-2596.944016,36.40692767,84.47996537,-48.0730377,0.099160592
atlantic,FLK,FLK,upper,inshore,9211,2022,24.90423,-80.60965,24.90423,-80.60965,24.90423,-80.60965,227.2727273,1638.418079,-1411.145352,45.06197651,140.8496488,-95.78767229,0.40260893
atlantic,FLK,FLK,upper,inshore,9215,2022,24.89819,-80.61919,24.89819,-80.61919,24.89819,-80.61919,454.5454545,3700.564972,-3246.019518,28.71315515,40.84886808,-12.13571293,0.376310424
atlantic,FLK,FLK,lower,inshore,1002,2018,24.567905,-81.65905,24.5679043,-81.65905089,24.5679043,-81.65905089,170.4545455,268.3615819,-97.9070364,1.501603869,0.741736271,0.759867598,9.64E-05
atlantic,FLK,FLK,lower,inshore,1008,2018,24.552605,-81.68616,24.55260118,-81.68615984,24.55260118,-81.68615984,369.3181818,1045.19774,-675.8795582,109.5895794,140.2021465,-30.6125671,0.289041018
atlantic,FLK,FLK,lower,inshore,1009,2018,24.550585,-81.698375,24.55058022,-81.69836871,24.55058022,-81.69836871,298.2954545,776.8361582,-478.5407037,4.441488444,3.929047345,0.512441099,8.02E-04
atlantic,FLK,FLK,lower,inshore,1034,2018,24.577575,-81.439665,24.57757575,-81.43966258,24.57757575,-81.43966258,142.0454545,480.2259887,-338.1805342,15.74977349,20.81010915,-5.06033566,0.192038381
atlantic,FLK,FLK,lower,inshore,1036,2018,24.562095,-81.556505,24.56209522,-81.55650754,24.56209522,-81.55650754,511.3636364,819.2090395,-307.8454031,82.8645892,91.03969638,-8.17510718,0.315088786
atlantic,FLK,FLK,lower,inshore,1037,2022,24.57847,-81.43934,24.57847,-81.43934,24.57847,-81.43934,965.9090909,2203.389831,-1237.48074,30.62127849,41.40689695,-10.78561846,0.099644852
atlantic,FLK,FLK,lower,inshore,1055,2022,24.55509,-81.56663,24.55509,-81.56663,24.55509,-81.56663,113.6363636,593.220339,-479.5839754,1.965398577,1.665026836,0.300371741,0.023864744
