basin,region,subRegion,island,siteName,yearFishSurvey,siteFishSurvey,latitudeFishSurvey,longitudeFishSurvey,latitudeBMU,longitudeBMU,habitatFishSurvey,excavatorDensity,excavatorBiomass,excavatorBioerosion,scraperDensity,scraperBiomass,scraperBioerosion,totalDensity,totalBiomass,totalBioerosion
atlantic,FGB,east,NA,East Buoy 3,2022,9081,27.9099,-93.5971,27.9099,-93.5971,HR,84.74576271,62.78720893,0.738626805,169.4915254,18.01746376,0.150207537,254.2372881,80.80467269,0.888834342
atlantic,FGB,east,NA,East Buoy 3,2022,9082,27.90511,-93.59661,27.90511,-93.59661,HR,56.49717514,19.6957087,0.379344012,197.740113,34.54105452,0.170624594,254.2372881,54.23676322,0.549968606
atlantic,FGB,east,NA,East Buoy 3,2022,9087,27.90502,-93.59593,27.90502,-93.59593,LR,84.74576271,31.85540375,0.659405548,254.2372881,42.85071848,0.247551627,338.9830508,74.70612224,0.906957175
atlantic,FLK,lower,NA,inshore,2016,1370U,24.55887556,-81.50894045,24.55887556,-81.50894045,ISOL_LR,112.9943503,0.687861287,0.011864958,28.24858757,0.030169155,0,141.2429379,0.718030442,0.011864958
atlantic,FLK,lower,NA,inshore,2016,1371U,24.57063196,-81.45806196,24.57063196,-81.45806196,ISOL_MR,70.62146893,0.59190235,0.011864958,0,0,0,70.62146893,0.59190235,0.011864958
atlantic,FLK,lower,NA,inshore,2016,1373U,24.58476519,-81.44386008,24.58476519,-81.44386008,ISOL_MR,261.299435,53.84166277,0.162921344,0,0,0,261.299435,53.84166277,0.162921344
atlantic,FLK,lower,NA,inshore,2018,1002U,24.5679043,-81.65905089,24.5679043,-81.65905089,ISOL_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,inshore,2018,1008U,24.55260118,-81.68615984,24.55260118,-81.68615984,ISOL_LR,70.62146893,106.329487,0.287408018,14.12429379,0.019983277,0,84.74576271,106.3494703,0.287408018
atlantic,FLK,lower,NA,inshore,2018,1009U,24.55058022,-81.69836871,24.55058022,-81.69836871,ISOL_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,inshore,2018,1034U,24.57757575,-81.43966258,24.57757575,-81.43966258,ISOL_MR,28.24858757,7.622265232,0.189672006,0,0,0,28.24858757,7.622265232,0.189672006
atlantic,FLK,lower,NA,inshore,2018,1036U,24.56209522,-81.55650754,24.56209522,-81.55650754,ISOL_MR,310.7344633,44.36706244,0.307851968,14.12429379,0.670223489,0.00145743,324.8587571,45.03728592,0.309309398
atlantic,FLK,lower,NA,inshore,2018,1531U,24.55920827,-81.50610575,24.55920827,-81.50610575,ISOL_MR,296.6101695,41.64416048,0.413665459,127.1186441,4.239583486,0.012579501,423.7288136,45.88374397,0.42624496
atlantic,FLK,lower,NA,inshore,2018,1532U,24.55076627,-81.58693736,24.55076627,-81.58693736,ISOL_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,inshore,2018,1534U,24.56132516,-81.50220968,24.56132516,-81.50220968,ISOL_LR,70.62146893,29.49847195,0.094598444,141.2429379,0.280733877,0,211.8644068,29.77920582,0.094598444
atlantic,FLK,lower,NA,inshore,2022,1037,24.57847,-81.43934,24.57847,-81.43934,ISOL_HR,254.2372881,5.277077032,0.094919661,0,0,0,254.2372881,5.277077032,0.094919661
atlantic,FLK,lower,NA,inshore,2022,1055,24.55509,-81.56663,24.55509,-81.56663,ISOL_HR,28.24858757,0.427440653,0.023729915,0,0,0,28.24858757,0.427440653,0.023729915
atlantic,FLK,lower,NA,inshore,2022,1063,24.5775,-81.4438,24.5775,-81.4438,CONT_HR,225.9887006,4.968706929,0.094919661,0,0,0,225.9887006,4.968706929,0.094919661
atlantic,FLK,lower,NA,inshore,2022,1369,24.55046,-81.70069,24.55046,-81.70069,ISOL_HR,282.4858757,187.5545839,0.415998996,0,0,0,282.4858757,187.5545839,0.415998996
atlantic,FLK,lower,NA,inshore,2022,1849,24.55269,-81.70299,24.55269,-81.70299,ISOL_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2016,1393U,24.52469745,-81.57616767,24.52469745,-81.57616767,CONT_LR,14.12429379,8.056162281,0.177807049,0,0,0,14.12429379,8.056162281,0.177807049
atlantic,FLK,lower,NA,offshore,2016,1406U,24.50961574,-81.57145042,24.50961574,-81.57145042,SPGR_HR,483.0508475,341.2364106,2.178126059,56.49717514,9.838728343,0.0430799,539.5480226,351.075139,2.221205959
atlantic,FLK,lower,NA,offshore,2016,1431U,24.53993406,-81.47143099,24.53993406,-81.47143099,CONT_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2016,1439U,24.51482436,-81.56417336,24.51482436,-81.56417336,CONT_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2016,1441U,24.54112909,-81.44360579,24.54112909,-81.44360579,CONT_LR,70.62146893,7.435519018,0.177807049,127.1186441,1.569460595,0.007478495,197.740113,9.004979613,0.185285543
atlantic,FLK,lower,NA,offshore,2016,1479U,24.53360212,-81.45719371,24.53360212,-81.45719371,SPGR_LR,134.180791,16.427023,0.531635039,70.62146893,5.478911253,0.013308216,204.8022599,21.90593425,0.544943255
atlantic,FLK,lower,NA,offshore,2018,1174U,24.54304129,-81.44363313,24.54304129,-81.44363313,CONT_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2018,1176U,24.55160517,-81.43135404,24.55160517,-81.43135404,CONT_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2018,1231U,24.53820555,-81.45357891,24.53820555,-81.45357891,SPGR_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2018,1261U,24.50559126,-81.58700013,24.50559126,-81.58700013,SPGR_HR,14.12429379,16.76963737,0.291653397,0,0,0,14.12429379,16.76963737,0.291653397
atlantic,FLK,lower,NA,offshore,2018,1311U,24.52963985,-81.47153006,24.52963985,-81.47153006,SPGR_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2018,1671U,24.54406173,-81.44120859,24.54406173,-81.44120859,CONT_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2018,1674U,24.55325294,-81.44021988,24.55325294,-81.44021988,CONT_LR,42.37288136,110.9162977,0.207999498,0,0,0,42.37288136,110.9162977,0.207999498
atlantic,FLK,lower,NA,offshore,2022,1084,24.55588,-81.43408,24.55588,-81.43408,ISOL_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2022,1087,24.52081,-81.59098,24.52081,-81.59098,CONT_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2022,1089,24.50689,-81.59154,24.50689,-81.59154,RUBB_MR,56.49717514,50.70958727,0.160668228,0,0,0,56.49717514,50.70958727,0.160668228
atlantic,FLK,lower,NA,offshore,2022,1095,24.54847,-81.4527,24.54847,-81.4527,CONT_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2022,1097,24.52027,-81.59045,24.52027,-81.59045,CONT_MR,169.4915254,22.16956071,0.479417092,0,0,0,169.4915254,22.16956071,0.479417092
atlantic,FLK,lower,NA,offshore,2022,1166,24.51023,-81.5676,24.51023,-81.5676,CONT_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,lower,NA,offshore,2022,1168,24.51019,-81.56821,24.51019,-81.56821,CONT_LR,28.24858757,14.67343385,0.355614097,0,0,0,28.24858757,14.67343385,0.355614097
atlantic,FLK,lower,NA,offshore,2022,1170,24.55312,-81.43715,24.55312,-81.43715,CONT_MR,28.24858757,3.008061916,0.023729915,0,0,0,28.24858757,3.008061916,0.023729915
atlantic,FLK,lower,NA,offshore,2022,1231,24.53316,-81.4674,24.53316,-81.4674,SPGR_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,middle,NA,inshore,2016,1245U,24.69644325,-81.0525045,24.69644325,-81.0525045,ISOL_LR,28.24858757,0.144535279,0,0,0,0,28.24858757,0.144535279,0
atlantic,FLK,middle,NA,inshore,2016,1250U,24.65112471,-81.14212341,24.65112471,-81.14212341,ISOL_LR,0,0,0,254.2372881,0.618946534,0,254.2372881,0.618946534,0
atlantic,FLK,middle,NA,inshore,2016,1251U,24.6659054,-81.07067434,24.6659054,-81.07067434,ISOL_MR,254.2655367,12.65491258,0.360597141,0,0,0,254.2655367,12.65491258,0.360597141
atlantic,FLK,middle,NA,inshore,2018,1011U,24.69558449,-81.05188063,24.69558449,-81.05188063,ISOL_LR,127.1186441,149.3899004,0.411493136,451.9774011,2.489055469,0,579.0960452,151.8789559,0.411493136
atlantic,FLK,middle,NA,inshore,2018,1049U,24.66762896,-81.07011,24.66762896,-81.07011,ISOL_MR,268.3615819,44.34712776,0.17672259,14.12429379,0.28112836,0.00145743,282.4858757,44.62825612,0.17818002
atlantic,FLK,middle,NA,inshore,2018,1053U,24.69007737,-81.03385969,24.69007737,-81.03385969,ISOL_MR,254.2372881,52.89652653,0.343732632,183.6158192,9.214836639,0.018946593,437.8531073,62.11136317,0.362679225
atlantic,FLK,middle,NA,inshore,2018,1552U,24.6737305,-81.06303122,24.6737305,-81.06303122,ISOL_LR,14.12429379,0.108452455,0,0,0,0,14.12429379,0.108452455,0
atlantic,FLK,middle,NA,inshore,2022,1004,24.69326,-81.03875,24.69326,-81.03875,CONT_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,middle,NA,inshore,2022,1005,24.69657,-81.05188,24.69657,-81.05188,ISOL_LR,84.74576271,0.130309771,0,0,0,0,84.74576271,0.130309771,0
atlantic,FLK,middle,NA,inshore,2022,1039,24.66643,-81.07462,24.66643,-81.07462,ISOL_MR,28.24858757,0.026371704,0,0,0,0,28.24858757,0.026371704,0
atlantic,FLK,middle,NA,offshore,2016,1285U,24.62694073,-81.10913474,24.62694073,-81.10913474,SPGR_HR,459.0677966,45.36528101,0.980506694,70.62146893,8.918200248,0.067715777,529.6892655,54.28348126,1.048222471
atlantic,FLK,middle,NA,offshore,2016,1286U,24.6261719,-81.10806356,24.6261719,-81.10806356,SPGR_HR,176.5536723,95.23513457,0.672834122,70.62146893,1.456260275,0.007287151,247.1751412,96.69139485,0.680121274
atlantic,FLK,middle,NA,offshore,2016,1335U,24.62346394,-81.10883832,24.62346394,-81.10883832,SPGR_LR,98.8700565,8.796485421,0.123407693,560.1977401,12.12548969,0.032522675,659.0677966,20.92197511,0.155930368
atlantic,FLK,middle,NA,offshore,2016,1336U,24.6253241,-81.10534289,24.6253241,-81.10534289,SPGR_LR,0,0,0,268.3615819,1.712769828,0.00145743,268.3615819,1.712769828,0.00145743
atlantic,FLK,middle,NA,offshore,2016,1339U,24.62532504,-81.10173443,24.62532504,-81.10173443,SPGR_LR,148.3333333,2.316299991,0.041527352,225.9887006,1.322261363,0.00145743,374.3220339,3.638561353,0.042984782
atlantic,FLK,middle,NA,offshore,2016,1657U,24.63236558,-81.09090326,24.63236558,-81.09090326,SPGR_HR,494.4067797,182.3656965,2.696587688,459.039548,41.99021972,0.212190013,953.4463277,224.3559163,2.9087777
atlantic,FLK,middle,NA,offshore,2018,1285U,24.62592795,-81.11145353,24.62592795,-81.11145353,SPGR_HR,621.4689266,775.427969,1.882292802,211.8644068,32.63024981,0.152836731,833.3333333,808.0582188,2.035129533
atlantic,FLK,middle,NA,offshore,2018,1286U,24.62666862,-81.11020829,24.62666862,-81.11020829,SPGR_HR,268.3615819,121.0641621,0.720179609,98.8700565,32.37200831,0.216838235,367.2316384,153.4361704,0.937017844
atlantic,FLK,middle,NA,offshore,2018,1327U,24.62440408,-81.11544076,24.62440408,-81.11544076,CONT_MR,56.49717514,94.30484638,0.272082403,169.4915254,0.755257498,0.00145743,225.9887006,95.06010388,0.273539833
atlantic,FLK,middle,NA,offshore,2018,1344U,24.62451473,-81.11385521,24.62451473,-81.11385521,SPGR_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,middle,NA,offshore,2018,1345U,24.62249909,-81.11342,24.62249909,-81.11342,SPGR_LR,197.740113,223.9813081,0.794137553,211.8644068,2.037544899,0.005465363,409.6045198,226.018853,0.799602917
atlantic,FLK,middle,NA,offshore,2022,1405,24.62538,-81.11225,24.62538,-81.11225,SPGR_HR,564.9717514,72.74186416,0.497607534,28.24858757,5.1592446,0.014956989,593.220339,77.90110876,0.512564524
atlantic,FLK,middle,NA,offshore,2022,1435,24.62442,-81.11379,24.62442,-81.11379,CONT_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,middle,NA,offshore,2022,1436,24.62554,-81.11239,24.62554,-81.11239,SPGR_HR,310.7344633,18.98849453,0.303791451,84.74576271,27.21934904,0.115461619,395.480226,46.20784357,0.41925307
atlantic,FLK,middle,NA,offshore,2022,1477,24.62201,-81.11191,24.62201,-81.11191,SPGR_HR,0,0,0,28.24858757,0.432327838,0.00291486,28.24858757,0.432327838,0.00291486
atlantic,FLK,middle,NA,offshore,2022,1478,24.62547,-81.10481,24.62547,-81.10481,SPGR_HR,28.24858757,0.0904598,0,0,0,0,28.24858757,0.0904598,0
atlantic,FLK,middle,NA,offshore,2022,1680,24.63308,-81.08176,24.63308,-81.08176,SPGR_MR,112.9943503,199.0578022,0.645263246,0,0,0,112.9943503,199.0578022,0.645263246
atlantic,FLK,middle,NA,offshore,2022,9036,24.62724,-81.11044,24.62724,-81.11044,CONT_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,middle,NA,offshore,2022,9069,24.6249,-81.11135,24.6249,-81.11135,CONT_LR,0,0,0,0,0,0,0,0,0
atlantic,FLK,middle,NA,offshore,2022,9070,24.62589,-81.1104,24.62589,-81.1104,SPGR_HR,112.9943503,119.9120346,1.05925846,28.24858757,15.51818212,0.039085247,141.2429379,135.4302167,1.098343707
atlantic,FLK,middle,NA,offshore,2022,9151,24.62678,-81.11092,24.62678,-81.11092,SPGR_HR,169.4915254,75.29873511,0.824384512,169.4915254,40.14596444,0.172134481,338.9830508,115.4446996,0.996518993
atlantic,FLK,middle,NA,offshore,2022,9194,24.62538,-81.11042,24.62538,-81.11042,SPGR_MR,0,0,0,0,0,0,0,0,0
atlantic,FLK,upper,NA,inshore,2016,1247U,24.94290273,-80.55424373,24.94290273,-80.55424373,ISOL_HR,466.1016949,253.2821574,0.806644139,70.62146893,0.642538755,0.001821788,536.7231638,253.9246961,0.808465927
